 *	v1.5.9	  09/02/26	  jshimota	  Extended vertical column divider lines, header banners, and colorized labels across all multi-input sections (House, Office, Presence/Sleeping Overrides, Fan Circulation, and AQI Boundaries).
 *	v1.5.8	  09/02/26	  jshimota	  Refined 4-column header bar to match Mockup 1 layout, removed period numbers, and colorized Heating (FireBrick) and Cooling (DodgerBlue) column titles.
 *	v1.5.7	  09/02/26	  jshimota	  Integrated custom 4-column HTML header bar, simplified native setpoint input labels to eliminate redundant 'Heating/Cooling' text, and added CSS cell divider borders for 1080p desktop layout.
 *	v1.5.6	  09/02/26	  jshimota	  Diagnostic layout update: Reduced Section 1 House HVAC native setpoint input widths to width: 3 (4-across) to test native row compression and visual density.
 *	v1.5.5	  09/02/26	  jshimota	  Aligned native Hubitat inputs into clean side-by-side 2-column grid pairs (width: 6). Relabeled Section 1 & 2 headers and enable toggles. Clarified Section 4 Presence/Sleeping Override headers and switch guidance.
 *	v1.5.4	  09/02/26	  jshimota	  Purged JS-to-native test scaffolding and restored all matrix and override fields to standard native Hubitat number inputs. Split Category B into dedicated Section 4 (Overrides) and Section 5 (Safety Controls).
 *	v1.5.3	  09/02/26	  jshimota	  Purged invalid type: 'hidden' controls to eliminate 'Which?' UI entries. Implemented ChatGPT's JS-to-Native input bridge experiment on Morning setpoints while retaining valid native inputs across matrix.
 *	v1.5.2	  09/02/26	  jshimota	  Re-aligned Heat (left) and Cool (right) setpoint columns across all sections to match tile output. Refined Section 4 terminology to Presence & Sleeping Overrides. Clarified Force Off descriptions. Integrated JavaScript-bound HTML spinners across schedule tables, overrides, and fan circulation. Added live active target setpoints to Dashboard Tile output. Restored settings as authoritative configuration.
 *	v1.5.1	  09/02/26	  jshimota	  Restored native Hubitat number inputs structured side-by-side with width-6 controls to guarantee settings persistence on Done while keeping spinner functionality.
 *	v1.4.9	  09/02/26	  jshimota	  Forced immediate setpoint re-application to physical thermostats and dashboard tiles whenever Done is clicked in GUI.
 *	v1.4.8	  09/02/26	  jshimota	  Updated UI header label to Units. Restored setpoint matrix HTML number spinners decoupled from live updates. Added clear guidance for Enable Setpoint Scheduling toggles. Integrated sleeping mode fan circulation schedule with revised defaults.
